smiles,pKi,Ki,protein_path
C[C@@H](C(N[C@@H]([C@H](C)N(C(CS(C)(=O)=O)=O)c(cccc1)c1N1Cc2c(C)ccc3ccccc23)C1=O)=O)NC.Cl,2.070581074285707,8500.0,4wnv_meeko.pdb
COc(ccc(CNC(c1cc(-c2cc(Cl)cnc2)cnc1-c1ncccc1)=O)n1)c1OC,2.0222763947111524,9500.0,4wnv_meeko.pdb
Oc(cc1)ccc1-c1c(C(c(cc2)ccc2OCCN2CCCCC2)=O)c(ccc(O)c2)c2s1,2.00436480540245,9900.0,4wnv_meeko.pdb
[O-][N+](c1ccc([C@H]([C@@H](CO)NC(C(Cl)Cl)=O)O)cc1)=O,1.9746941347352298,10600.0,4wnv_meeko.pdb
CC(O[C@H]([C@@H]([C@H](C(CC1)=C2)N1C1)c3c1cc1OCOc1c3)[C@@H]2OC(C)=O)=O,1.958607314841775,11000.0,4wnv_meeko.pdb
COc(cc1)ccc1NC(c1cc(-c2ncccc2)nc2ccccc12)=O,1.9244530386074692,11900.0,4wnv_meeko.pdb
CC/C(/c1ccccc1)=C(\c1ccccc1)/c(cc1)ccc1OCCN,1.9208187539523751,12000.0,4wnv_meeko.pdb
CN(c1ncccc1CNc1nc(Nc(cc2)cc(C3)c2NC3=O)ncc1C(F)(F)F)S(C)(=O)=O,1.9208187539523751,12000.0,4wnv_meeko.pdb
Cc(ccc(NC(c1ccc(CN2CCN(C)CC2)cc1)=O)c1)c1Nc1nc(-c2cnccc2)ccn1,1.8446639625349381,14300.0,4wnv_meeko.pdb
CN(C)c(cc1)ccc1NC(c1cc(-c2ccccc2)nc2ccccc12)=O,1.8416375079047504,14400.0,4wnv_meeko.pdb
O=C(c1cc(-c2ncccc2)nc2ccccc12)Nc1ccccc1,1.8386319977650252,14500.0,4wnv_meeko.pdb
NCC#Cc1cccnc1,1.8181564120552274,15200.0,4wnv_meeko.pdb
